qname,join_order,exec_sql,cost
61.pkl,Leading((mk (ci ((t mi_idx) mi)))),/*+ Rows(t #1053462) Rows(mi #619185) Rows(mi_idx #192170) Rows(ci #15101810) Rows(mk #1884971) Rows(mi t #619185) Rows(mi_idx t #192170) Rows(ci t #15101810) Rows(mk t #1884971) Rows(mi mi_idx t #603077) Rows(ci mi t #22678460) Rows(mi mk t #7822614) Rows(ci mi_idx t #7038473) Rows(mi_idx mk t #1835932) Rows(ci mk t #69039475) Rows(ci mi mi_idx t #10569708) Rows(mi mi_idx mk t #7619105) Rows(ci mi mk t #103676910) Rows(ci mi_idx mk t #32177102) Rows(ci mi mi_idx mk t #48320507)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (cast_info as ci CROSS JOIN ((title as t CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN movie_info as mi)) WHERE  mi.info_type_id=3 AND  mi_idx.info_type_id=100 AND t.id = ci.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,4100922.96
50.pkl,Leading((mi (ci (mc t)))),/*+ Rows(t #575260) Rows(mi #1281848) Rows(mc #1087137) Rows(ci #3215175) Rows(mi t #699974) Rows(mc t #593649) Rows(ci t #1755700) Rows(mc mi t #3723708) Rows(ci mi t #5458213) Rows(ci mc t #4629120) Rows(ci mc mi t #14391253)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t)) WHERE  ci.role_id=2 AND  mi.info_type_id=16 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id,1463615.3
10.pkl,Leading(((mi_idx t) mk)),/*+ Rows(t #163690) Rows(mi_idx #192534) Rows(mk #1884971) Rows(mi_idx t #29917) Rows(mk t #292893) Rows(mi_idx mk t #285814)  */ explain (format json) SELECT COUNT(*) FROM (movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_keyword as mk WHERE  mi_idx.info_type_id=101 AND  t.production_year>2010 AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,196597.13
41.pkl,Leading((mk (mi (mc t)))),/*+ Rows(t #575260) Rows(mi #1281848) Rows(mk #1884971) Rows(mc #1087137) Rows(mi t #699974) Rows(mk t #1029320) Rows(mc t #593649) Rows(mi mk t #8843275) Rows(mc mi t #3723708) Rows(mc mk t #5475754) Rows(mc mi mk t #34347072)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_info as mi CROSS JOIN (movie_companies as mc CROSS JOIN title as t)) WHERE  mi.info_type_id=16 AND  t.production_year>2000 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,2307052.97
66.pkl,Leading((mk (mc ((t mi_idx) mi)))),/*+ Rows(t #575260) Rows(mi #533262) Rows(mk #1884971) Rows(mi_idx #192534) Rows(mc #1087137) Rows(mi t #291196) Rows(mk t #1029320) Rows(mi_idx t #105137) Rows(mc t #593649) Rows(mi mk t #3678892) Rows(mi mi_idx t #284158) Rows(mc mi t #1549101) Rows(mi_idx mk t #1004441) Rows(mc mk t #5475754) Rows(mc mi_idx t #559303) Rows(mi mi_idx mk t #3589975) Rows(mc mi mk t #14288733) Rows(mc mi mi_idx t #1459476) Rows(mc mi_idx mk t #5158949) Rows(mc mi mi_idx mk t #13462042)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_companies as mc CROSS JOIN ((title as t CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN movie_info as mi)) WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.production_year>2000 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,840092.6
40.pkl,Leading((mk ((t mi_idx) mi))),/*+ Rows(t #418883) Rows(mi #533262) Rows(mk #1884971) Rows(mi_idx #192534) Rows(mi t #212038) Rows(mk t #749512) Rows(mi_idx t #76556) Rows(mi mk t #2678831) Rows(mi mi_idx t #206913) Rows(mi_idx mk t #731396) Rows(mi mi_idx mk t #2614084)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN ((title as t CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN movie_info as mi) WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.production_year>2005 AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,545594.04
35.pkl,Leading((((mi_idx t) mi) mc)),/*+ Rows(t #1053462) Rows(mi #49040) Rows(mi_idx #184) Rows(mc #1087137) Rows(mi t #49040) Rows(mi_idx t #184) Rows(mc t #1087137) Rows(mi mi_idx t #46) Rows(mc mi t #260884) Rows(mc mi_idx t #979) Rows(mc mi mi_idx t #235)  */ explain (format json) SELECT COUNT(*) FROM ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_info as mi) CROSS JOIN movie_companies as mc WHERE  mi.info_type_id=105 AND  mi_idx.info_type_id=113 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id,1405.56
36.pkl,Leading((mc ((t mi_idx) mi))),/*+ Rows(t #353285) Rows(mi #619185) Rows(mi_idx #192534) Rows(mc #555201) Rows(mi t #207648) Rows(mi_idx t #64568) Rows(mc t #186190) Rows(mi mi_idx t #202629) Rows(mc mi t #564140) Rows(mc mi_idx t #175418) Rows(mc mi mi_idx t #531501)  */ explain (format json) SELECT COUNT(*) FROM movie_companies as mc CROSS JOIN ((title as t CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN movie_info as mi) WHERE  mc.company_type_id=2 AND  mi.info_type_id=3 AND  mi_idx.info_type_id=101 AND  t.production_year<2010 AND  t.production_year>2000 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id,543584.95
39.pkl,Leading((mk ((mi_idx t) mi))),/*+ Rows(t #279132) Rows(mi #533262) Rows(mk #1884971) Rows(mi_idx #192534) Rows(mi t #141297) Rows(mk t #499455) Rows(mi_idx t #51015) Rows(mi mk t #1785102) Rows(mi mi_idx t #137882) Rows(mi_idx mk t #487383) Rows(mi mi_idx mk t #1741957)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_info as mi) WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.kind_id=1 AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,764797.42
42.pkl,Leading((mk ((mc t) mi))),/*+ Rows(t #196908) Rows(mi #1281848) Rows(mk #1884971) Rows(mc #1087137) Rows(mi t #239597) Rows(mk t #352330) Rows(mc t #203202) Rows(mi mk t #3026995) Rows(mc mi t #1274601) Rows(mc mk t #1874315) Rows(mc mi mk t #11756780)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN ((movie_companies as mc CROSS JOIN title as t) CROSS JOIN movie_info as mi) WHERE  mi.info_type_id=16 AND  t.production_year<2010 AND  t.production_year>2005 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,1628203.9
