,errors,samples_type
0,9078857.495,train
1,9186220.821,train
2,440487.855,train
3,9183292.778,train
4,1674256.873,train
5,735884.2109999999,train
6,5283.304,train
7,828453.8759999999,train
8,915265.1159999999,train
9,3468079.7780000004,train
10,1479646.6030000001,train
11,27404.186,train
12,2485988.821,train
13,19632098.751000002,train
14,2285370.65,train
15,3894866.636,train
16,482706.10199999996,train
17,557943.441,train
18,99840606.751,train
19,862898.199,train
20,2146254.752,train
21,701580.817,train
22,33672.687000000005,train
23,2732.3360000000002,train
24,5147502.102,train
25,1988.549,train
26,977449.4269999999,train
27,1299162.199,train
0,794032.789,val
1,1827.434,val
2,4523712.059,val
3,769683.962,val
4,24951.195,val
5,5142779.072000001,val
6,831545.108,val
7,80959.344,val
8,3392601.274,val
9,2876413.274,val
10,37650.797,val
11,18937.288,val
12,39901.408,val
13,11461109.778,val
0,328389.581,test
1,1506361.565,test
2,47613.505000000005,test
3,325214.344,test
4,1857838.8169999998,test
5,4511061.65,test
6,1435359.344,test
7,273613.785,test
8,16055559.821,test
9,584033.603,test
10,4363.195,test
11,3296012.473,test
12,678911.803,test
13,609028.85,test
14,36684.358,test
15,143543.21600000001,test
16,42260.274,test
17,1367954.274,test
18,88817.44099999999,test
19,710559.6499999999,test
20,40589.905000000006,test
21,913511.4850000001,test
22,21805.349000000002,test
23,36661.009999999995,test
24,17912.688000000002,test
25,324128.717,test
26,1246881.34,test
27,1851381.102,test
