qname,join_order,exec_sql,cost
73.pkl,Leading(((((k mk) mc) cn) t)),/*+ Rows(cn #5847) Rows(mc #1087137) Rows(t #1053499) Rows(mk #1884971) Rows(k #1) Rows(cn mc #45984) Rows(mc t #1087137) Rows(mc mk #9902691) Rows(mk t #1884971) Rows(k mk #34) Rows(cn mc t #45984) Rows(cn mc mk #418868) Rows(mc mk t #9902691) Rows(k mc mk #179) Rows(k mk t #34) Rows(cn mc mk t #418868) Rows(cn k mc mk #7) Rows(k mc mk t #179) Rows(cn k mc mk t #7)  */ explain (format json) SELECT COUNT(*) FROM (((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN movie_companies as mc) CROSS JOIN company_name as cn) CROSS JOIN title as t WHERE  cn.country_code = '[de]' AND  k.keyword = 'character-name-in-title' AND cn.id = mc.company_id AND mc.movie_id = mk.movie_id AND mc.movie_id = t.id AND mk.keyword_id = k.id AND t.id = mk.movie_id,98564.46
15.pkl,Leading((((kt ((k mk) t)) mi) mi_idx)),"/*+ Rows(kt #1) Rows(t #163235) Rows(mi #293802) Rows(mk #1884971) Rows(mi_idx #560166) Rows(k #4) Rows(kt t #55966) Rows(mi t #45523) Rows(mk t #292067) Rows(mi_idx t #86795) Rows(mi mk #3646968) Rows(mi mi_idx #816457) Rows(mi_idx mk #5238212) Rows(k mk #135) Rows(kt mi t #6503) Rows(kt mk t #41724) Rows(kt mi_idx t #12399) Rows(mi mk t #565080) Rows(mi mi_idx t #126506) Rows(mi_idx mk t #811635) Rows(k mk t #21) Rows(mi mi_idx mk #10134690) Rows(k mi mk #261) Rows(k mi_idx mk #375) Rows(kt mi mk t #80726) Rows(kt mi mi_idx t #18072) Rows(kt mi_idx mk t #115947) Rows(k kt mk t #3) Rows(mi mi_idx mk t #1570321) Rows(k mi mk t #40) Rows(k mi_idx mk t #58) Rows(k mi mi_idx mk #725) Rows(kt mi mi_idx mk t #224334) Rows(k kt mi mk t #6) Rows(k kt mi_idx mk t #8) Rows(k mi mi_idx mk t #112) Rows(k kt mi mi_idx mk t #16)  */ explain (format json) SELECT COUNT(*) FROM ((kind_type as kt CROSS JOIN ((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN title as t)) CROSS JOIN movie_info as mi) CROSS JOIN movie_info_idx as mi_idx WHERE  k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence') AND  kt.kind = 'movie' AND  mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American') AND  mi_idx.info < '8.5' AND  t.production_year > 2010 AND kt.id = t.kind_id AND mi.movie_id = mi_idx.movie_id AND mi.movie_id = mk.movie_id AND mk.keyword_id = k.id AND mk.movie_id = mi_idx.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id",29938.74
42.pkl,Leading(((((it mi_idx) t) mc) ct)),/*+ Rows(ct #1) Rows(mc #562482) Rows(t #573441) Rows(mi_idx #575015) Rows(it #1) Rows(ct mc #140620) Rows(mc t #306170) Rows(mc mi_idx #1562974) Rows(mi_idx t #312992) Rows(it mi_idx #5089) Rows(ct mc t #76542) Rows(ct mc mi_idx #390743) Rows(mc mi_idx t #850758) Rows(it mc mi_idx #13832) Rows(it mi_idx t #2770) Rows(ct mc mi_idx t #212690) Rows(ct it mc mi_idx #3458) Rows(it mc mi_idx t #7529) Rows(ct it mc mi_idx t #1882)  */ explain (format json) SELECT COUNT(*) FROM (((info_type as it CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN title as t) CROSS JOIN movie_companies as mc) CROSS JOIN company_type as ct WHERE  ct.kind = 'production companies' AND  it.info = 'bottom 10 rank' AND  mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' AND  t.production_year > 2000 AND ct.id = mc.company_type_id AND mc.movie_id = mi_idx.movie_id AND mc.movie_id = t.id AND mi_idx.info_type_id = it.id AND t.id = mi_idx.movie_id,19334.18
90.pkl,Leading((((k mk) t) mi)),"/*+ Rows(t #732247) Rows(mi #293802) Rows(mk #1884971) Rows(k #13) Rows(mi t #204210) Rows(mk t #1310171) Rows(mi mk #3646968) Rows(k mk #438) Rows(mi mk t #2534868) Rows(k mk t #304) Rows(k mi mk #847) Rows(k mi mk t #589)  */ explain (format json) SELECT COUNT(*) FROM ((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN title as t) CROSS JOIN movie_info as mi WHERE  k.keyword LIKE '%sequel%' AND  mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American') AND  t.production_year > 1990 AND mi.movie_id = mk.movie_id AND mk.keyword_id = k.id AND t.id = mi.movie_id AND t.id = mk.movie_id",37256.91
30.pkl,Leading((((((k mk) t) mc) cn) ci)),/*+ Rows(ci #15103853) Rows(t #1053499) Rows(mc #1087137) Rows(mk #1884971) Rows(k #1) Rows(cn #49805) Rows(ci t #15103853) Rows(ci mc #40001768) Rows(ci mk #69358471) Rows(mc t #1087137) Rows(mk t #1884971) Rows(mc mk #9902691) Rows(cn mc #391694) Rows(k mk #34) Rows(ci mc t #40001768) Rows(ci mk t #69358471) Rows(ci mc mk #183692294) Rows(ci cn mc #14412566) Rows(ci k mk #1241) Rows(mc mk t #9902691) Rows(cn mc t #391694) Rows(k mk t #34) Rows(k mc mk #179) Rows(cn mc mk #3567924) Rows(ci mc mk t #183692294) Rows(ci cn mc t #14412566) Rows(ci k mk t #1241) Rows(ci k mc mk #3286) Rows(ci cn mc mk #66184007) Rows(k mc mk t #179) Rows(cn mc mk t #3567924) Rows(cn k mc mk #64) Rows(ci k mc mk t #3286) Rows(ci cn mc mk t #66184007) Rows(ci cn k mc mk #1184) Rows(cn k mc mk t #64) Rows(ci cn k mc mk t #1184)  */ explain (format json) SELECT COUNT(*) FROM ((((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN title as t) CROSS JOIN movie_companies as mc) CROSS JOIN company_name as cn) CROSS JOIN cast_info as ci WHERE  cn.country_code = '[us]' AND  k.keyword = 'character-name-in-title' AND ci.movie_id = mc.movie_id AND ci.movie_id = mk.movie_id AND ci.movie_id = t.id AND mc.company_id = cn.id AND mk.keyword_id = k.id AND mk.movie_id = mc.movie_id AND t.id = mc.movie_id AND t.id = mk.movie_id,257740.54
7.pkl,Leading((((((((k mk) ml) t) lt) mc) ct) cn)),"/*+ Rows(lt #18) Rows(ml #29997) Rows(t #953728) Rows(mk #1884971) Rows(mc #562521) Rows(k #3) Rows(ct #3) Rows(cn #123475) Rows(lt ml #29997) Rows(ml t #11315) Rows(mk ml #583372) Rows(mc ml #33976) Rows(mk t #1706455) Rows(mc t #509248) Rows(mc mk #5123981) Rows(k mk #101) Rows(ct mc #421891) Rows(cn mc #502462) Rows(lt ml t #11315) Rows(lt mk ml #583372) Rows(lt mc ml #33976) Rows(mk ml t #528124) Rows(mc ml t #30758) Rows(mc mk ml #1585800) Rows(k mk ml #31) Rows(ct mc ml #25482) Rows(cn mc ml #30348) Rows(mc mk t #4638717) Rows(k mk t #91) Rows(ct mc t #381936) Rows(cn mc t #454877) Rows(k mc mk #275) Rows(ct mc mk #3842988) Rows(cn mc mk #4576908) Rows(cn ct mc #376847) Rows(lt mk ml t #528124) Rows(lt mc ml t #30758) Rows(lt mc mk ml #309485) Rows(k lt mk ml #31) Rows(ct lt mc ml #25482) Rows(cn lt mc ml #30348) Rows(mc mk ml t #1435618) Rows(k mk ml t #28) Rows(ct mc ml t #23068) Rows(cn mc ml t #27474) Rows(k mc mk ml #85) Rows(ct mc mk ml #1189351) Rows(cn mc mk ml #1416489) Rows(cn ct mc ml #22761) Rows(k mc mk t #249) Rows(ct mc mk t #3479039) Rows(cn mc mk t #4143454) Rows(cn ct mc t #341158) Rows(ct k mc mk #206) Rows(cn k mc mk #246) Rows(cn ct mc mk #3432682) Rows(lt mc mk ml t #280175) Rows(k lt mk ml t #28) Rows(ct lt mc ml t #23068) Rows(cn lt mc ml t #27474) Rows(k lt mc mk ml #85) Rows(ct lt mc mk ml #1189351) Rows(cn lt mc mk ml #1416489) Rows(cn ct lt mc ml #22761) Rows(k mc mk ml t #77) Rows(ct mc mk ml t #1076714) Rows(cn mc mk ml t #1282341) Rows(cn ct mc ml t #20606) Rows(ct k mc mk ml #64) Rows(cn k mc mk ml #76) Rows(cn ct mc mk ml #1062367) Rows(ct k mc mk t #186) Rows(cn k mc mk t #223) Rows(cn ct mc mk t #3107592) Rows(cn ct k mc mk #184) Rows(k lt mc mk ml t #77) Rows(ct lt mc mk ml t #1076714) Rows(cn lt mc mk ml t #1282341) Rows(cn ct lt mc ml t #20606) Rows(ct k lt mc mk ml #64) Rows(cn k lt mc mk ml #76) Rows(cn ct lt mc mk ml #1062367) Rows(ct k mc mk ml t #58) Rows(cn k mc mk ml t #69) Rows(cn ct mc mk ml t #961756) Rows(cn ct k mc mk ml #57) Rows(cn ct k mc mk t #167) Rows(ct k lt mc mk ml t #58) Rows(cn k lt mc mk ml t #69) Rows(cn ct lt mc mk ml t #961756) Rows(cn ct k lt mc mk ml #57) Rows(cn ct k mc mk ml t #52) Rows(cn ct k lt mc mk ml t #52)  */ explain (format json) SELECT COUNT(*) FROM ((((((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN movie_link as ml) CROSS JOIN title as t) CROSS JOIN link_type as lt) CROSS JOIN movie_companies as mc) CROSS JOIN company_type as ct) CROSS JOIN company_name as cn WHERE  cn.country_code != '[pl]' AND  ct.kind != 'production companies' AND  ct.kind IS NOT NULL AND  k.keyword IN ('sequel', 'revenge', 'based-on-novel') AND  mc.note IS NOT NULL AND  t.production_year > 1950 AND lt.id = ml.link_type_id AND mc.company_id = cn.id AND mc.company_type_id = ct.id AND mk.keyword_id = k.id AND mk.movie_id = mc.movie_id AND ml.movie_id = mc.movie_id AND ml.movie_id = mk.movie_id AND ml.movie_id = t.id AND t.id = mc.movie_id AND t.id = mk.movie_id",38936.29
33.pkl,Leading((((t mi_idx) mi) ci)),"/*+ Rows(t #329544) Rows(mi #24746) Rows(mi_idx #21438) Rows(ci #529138) Rows(mi t #7741) Rows(mi_idx t #6706) Rows(ci t #165519) Rows(mi mi_idx #2632) Rows(ci mi #31899) Rows(ci mi_idx #27635) Rows(mi mi_idx t #823) Rows(ci mi t #9978) Rows(ci mi_idx t #8645) Rows(ci mi mi_idx #3392) Rows(ci mi mi_idx t #1061)  */ explain (format json) SELECT COUNT(*) FROM ((title as t CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN movie_info as mi) CROSS JOIN cast_info as ci WHERE  ci.note IN ('(writer)', '(head writer)', '(written by)', '(story)', '(story editor)') AND  mi.info IN ('Horror', 'Thriller') AND  mi.note IS NULL AND  mi_idx.info > '8.0' AND  t.production_year BETWEEN 2008 AND 2014 AND mi.movie_id = ci.movie_id AND mi.movie_id = mi_idx.movie_id AND mi_idx.movie_id = ci.movie_id AND t.id = ci.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id",155787.55
75.pkl,Leading(((((k mk) mc) cn) t)),/*+ Rows(cn #12) Rows(mc #1087137) Rows(t #1053499) Rows(mk #1884971) Rows(k #1) Rows(cn mc #137) Rows(mc t #1087137) Rows(mc mk #9902691) Rows(mk t #1884971) Rows(k mk #34) Rows(cn mc t #137) Rows(cn mc mk #1248) Rows(mc mk t #9902691) Rows(k mc mk #179) Rows(k mk t #34) Rows(cn mc mk t #1248) Rows(cn k mc mk #1) Rows(k mc mk t #179) Rows(cn k mc mk t #1)  */ explain (format json) SELECT COUNT(*) FROM (((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN movie_companies as mc) CROSS JOIN company_name as cn) CROSS JOIN title as t WHERE  cn.country_code = '[sm]' AND  k.keyword = 'character-name-in-title' AND cn.id = mc.company_id AND mc.movie_id = mk.movie_id AND mc.movie_id = t.id AND mk.keyword_id = k.id AND t.id = mk.movie_id,94644.35
88.pkl,Leading((((k mk) t) mi)),"/*+ Rows(t #423769) Rows(mi #57508) Rows(mk #1884971) Rows(k #13) Rows(mi t #23132) Rows(mk t #758228) Rows(mi mk #713841) Rows(k mk #438) Rows(mi mk t #287142) Rows(k mk t #176) Rows(k mi mk #166) Rows(k mi mk t #67)  */ explain (format json) SELECT COUNT(*) FROM ((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN title as t) CROSS JOIN movie_info as mi WHERE  k.keyword LIKE '%sequel%' AND  mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German') AND  t.production_year > 2005 AND mi.movie_id = mk.movie_id AND mk.keyword_id = k.id AND t.id = mi.movie_id AND t.id = mk.movie_id",26475.39
91.pkl,Leading(((it ((k mk) mi_idx)) t)),/*+ Rows(t #423769) Rows(mi_idx #214264) Rows(mk #1884971) Rows(it #1) Rows(k #13) Rows(mi_idx t #86188) Rows(mk t #758228) Rows(mi_idx mk #2003622) Rows(it mi_idx #1896) Rows(k mk #438) Rows(mi_idx mk t #805955) Rows(it mi_idx t #763) Rows(k mk t #176) Rows(it mi_idx mk #17732) Rows(k mi_idx mk #466) Rows(it mi_idx mk t #7133) Rows(k mi_idx mk t #187) Rows(it k mi_idx mk #4) Rows(it k mi_idx mk t #2)  */ explain (format json) SELECT COUNT(*) FROM (info_type as it CROSS JOIN ((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN movie_info_idx as mi_idx)) CROSS JOIN title as t WHERE  it.info = 'rating' AND  k.keyword LIKE '%sequel%' AND  mi_idx.info > '5.0' AND  t.production_year > 2005 AND mi_idx.info_type_id = it.id AND mi_idx.movie_id = mk.movie_id AND mk.keyword_id = k.id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,25840.26
