,errors,samples_type
0,19632098.751000002,train
1,99840606.751,train
2,440487.855,train
3,9183292.778,train
4,27404.186,train
5,5283.304,train
6,735884.2109999999,train
7,3468079.7780000004,train
8,9186220.821,train
9,806393.8759999999,train
10,1674256.873,train
11,1988.549,train
12,2146254.752,train
13,701580.817,train
14,482706.10199999996,train
15,1299162.199,train
16,915265.1159999999,train
17,2485988.821,train
18,33672.687000000005,train
19,5147502.102,train
20,2732.3360000000002,train
21,557943.441,train
22,1479646.6030000001,train
23,9078857.495,train
24,2285370.65,train
25,3894866.636,train
26,977449.4269999999,train
27,862898.199,train
0,4523712.059,val
1,80959.344,val
2,2876413.274,val
3,769683.962,val
4,794032.789,val
5,5142779.072000001,val
6,24951.195,val
7,3392601.274,val
8,39901.408,val
9,11461109.778,val
10,1827.434,val
11,18593.288000000004,val
12,831545.108,val
13,37650.797,val
0,584033.603,test
1,4363.195,test
2,21495.349000000002,test
3,678911.803,test
4,1857838.8169999998,test
5,143543.21600000001,test
6,39665.905000000006,test
7,1246881.34,test
8,16055559.821,test
9,88817.44099999999,test
10,36661.009999999995,test
11,273613.785,test
12,17912.688000000002,test
13,325214.344,test
14,47613.505000000005,test
15,4511061.65,test
16,609028.85,test
17,1435359.344,test
18,1851381.102,test
19,328389.581,test
20,42260.274,test
21,1367954.274,test
22,710559.6499999999,test
23,316960.717,test
24,3296012.473,test
25,36260.782,test
26,1506361.565,test
27,913511.4850000001,test
