qname,join_order,exec_sql,cost
12.pkl,Leading(((((mc ct) ((kt t) (it miidx))) cn) mi)),/*+ Rows(mi #14835720) Rows(t #2528312) Rows(miidx #1380035) Rows(mc #2609129) Rows(kt #1) Rows(cn #84843) Rows(ct #1) Rows(it #1) Rows(mi t #14835720) Rows(mi miidx #20885030) Rows(mc mi #67371414) Rows(miidx t #1380035) Rows(mc t #2609129) Rows(kt t #662825) Rows(mc miidx #4073078) Rows(it miidx #459925) Rows(cn mc #1153798) Rows(ct mc #1334883) Rows(mi miidx t #20885030) Rows(mc mi t #67371414) Rows(kt mi t #8301049) Rows(mc mi miidx #177388547) Rows(it mi miidx #6930334) Rows(cn mc mi #24420867) Rows(ct mc mi #19468013) Rows(mc miidx t #4073078) Rows(kt miidx t #629900) Rows(it miidx t #459925) Rows(kt mc t #1307690) Rows(cn mc t #1153798) Rows(ct mc t #1334883) Rows(cn mc miidx #1742698) Rows(ct mc miidx #1753403) Rows(it mc miidx #1354883) Rows(cn ct mc #552328) Rows(mc mi miidx t #177388547) Rows(kt mi miidx t #13638164) Rows(it mi miidx t #6930334) Rows(kt mc mi t #53714510) Rows(cn mc mi t #24420867) Rows(ct mc mi t #19468013) Rows(cn mc mi miidx #60276938) Rows(ct mc mi miidx #42553106) Rows(it mc mi miidx #57984052) Rows(cn ct mc mi #9128700) Rows(kt mc miidx t #2327681) Rows(cn mc miidx t #1742698) Rows(ct mc miidx t #1753403) Rows(it mc miidx t #1354883) Rows(it kt miidx t #209880) Rows(cn kt mc t #486331) Rows(ct kt mc t #640620) Rows(cn ct mc t #552328) Rows(cn ct mc miidx #746064) Rows(cn it mc miidx #580109) Rows(ct it mc miidx #584222) Rows(kt mc mi miidx t #148621556) Rows(cn mc mi miidx t #60276938) Rows(ct mc mi miidx t #42553106) Rows(it mc mi miidx t #57984052) Rows(it kt mi miidx t #4514712) Rows(cn kt mc mi t #17253245) Rows(ct kt mc mi t #13398803) Rows(cn ct mc mi t #9128700) Rows(cn ct mc mi miidx #20338636) Rows(cn it mc mi miidx #19786302) Rows(ct it mc mi miidx #14091607) Rows(cn kt mc miidx t #798088) Rows(ct kt mc miidx t #908567) Rows(it kt mc miidx t #773084) Rows(cn ct mc miidx t #746064) Rows(cn it mc miidx t #580109) Rows(ct it mc miidx t #584222) Rows(cn ct kt mc t #210302) Rows(cn ct it mc miidx #248554) Rows(cn kt mc mi miidx t #45333881) Rows(ct kt mc mi miidx t #31047995) Rows(it kt mc mi miidx t #48395055) Rows(cn ct mc mi miidx t #20338636) Rows(cn it mc mi miidx t #19786302) Rows(ct it mc mi miidx t #14091607) Rows(cn ct kt mc mi t #5621288) Rows(cn ct it mc mi miidx #6722560) Rows(cn ct kt mc miidx t #262281) Rows(cn it kt mc miidx t #265239) Rows(ct it kt mc miidx t #302610) Rows(cn ct it mc miidx t #248554) Rows(cn ct kt mc mi miidx t #13120708) Rows(cn it kt mc mi miidx t #14805283) Rows(ct it kt mc mi miidx t #10256570) Rows(cn ct it mc mi miidx t #6722560) Rows(cn ct it kt mc miidx t #87293) Rows(cn ct it kt mc mi miidx t #4316584)  */ explain (format json) SELECT COUNT(*) FROM (((movie_companies as mc CROSS JOIN company_type as ct) CROSS JOIN ((kind_type as kt CROSS JOIN title as t) CROSS JOIN (info_type as it CROSS JOIN movie_info_idx as miidx))) CROSS JOIN company_name as cn) CROSS JOIN movie_info as mi WHERE  cn.country_code = '[us]' AND  ct.kind = 'production companies' AND  it.info = 'rating' AND  kt.kind = 'movie' AND  t.title != '' AND mc.company_id = cn.id AND mc.company_type_id = ct.id AND mc.movie_id = miidx.movie_id AND mi.movie_id = mc.movie_id AND mi.movie_id = miidx.movie_id AND mi.movie_id = t.id AND miidx.info_type_id = it.id AND t.id = mc.movie_id AND t.id = miidx.movie_id AND t.kind_id = kt.id,365649.86
29.pkl,Leading(((mc cn) (((k mk) t) ci))),/*+ Rows(ci #36244344) Rows(t #2528312) Rows(mc #2609129) Rows(mk #4523930) Rows(k #1) Rows(cn #234997) Rows(ci t #36244344) Rows(ci mc #80274241) Rows(ci mk #215765477) Rows(mc t #2609129) Rows(mk t #4523930) Rows(mc mk #34863638) Rows(cn mc #2609129) Rows(k mk #41840) Rows(ci mc t #80274241) Rows(ci mk t #215765477) Rows(ci mc mk #3101350543) Rows(ci cn mc #80274241) Rows(ci k mk #1038393) Rows(mc mk t #34863638) Rows(cn mc t #2609129) Rows(k mk t #41840) Rows(k mc mk #148552) Rows(cn mc mk #34863638) Rows(ci mc mk t #3101350543) Rows(ci cn mc t #80274241) Rows(ci k mk t #1038393) Rows(ci k mc mk #7796926) Rows(ci cn mc mk #3101350543) Rows(k mc mk t #148552) Rows(cn mc mk t #34863638) Rows(cn k mc mk #148552) Rows(ci k mc mk t #7796926) Rows(ci cn mc mk t #3101350543) Rows(ci cn k mc mk #7796926) Rows(cn k mc mk t #148552) Rows(ci cn k mc mk t #7796926)  */ explain (format json) SELECT COUNT(*) FROM (movie_companies as mc CROSS JOIN company_name as cn) CROSS JOIN (((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN title as t) CROSS JOIN cast_info as ci) WHERE  k.keyword = 'character-name-in-title' AND ci.movie_id = mc.movie_id AND ci.movie_id = mk.movie_id AND ci.movie_id = t.id AND mc.company_id = cn.id AND mk.keyword_id = k.id AND mk.movie_id = mc.movie_id AND t.id = mc.movie_id AND t.id = mk.movie_id,314842.96
73.pkl,Leading(((((k mk) mc) cn) t)),/*+ Rows(cn #9775) Rows(mc #2609129) Rows(t #2528312) Rows(mk #4523930) Rows(k #1) Rows(cn mc #148132) Rows(mc t #2609129) Rows(mc mk #34863638) Rows(mk t #4523930) Rows(k mk #41840) Rows(cn mc t #148132) Rows(cn mc mk #2108405) Rows(mc mk t #34863638) Rows(k mc mk #148552) Rows(k mk t #41840) Rows(cn mc mk t #2108405) Rows(cn k mc mk #7834) Rows(k mc mk t #148552) Rows(cn k mc mk t #7834)  */ explain (format json) SELECT COUNT(*) FROM (((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN movie_companies as mc) CROSS JOIN company_name as cn) CROSS JOIN title as t WHERE  cn.country_code = '[de]' AND  k.keyword = 'character-name-in-title' AND cn.id = mc.company_id AND mc.movie_id = mk.movie_id AND mc.movie_id = t.id AND mk.keyword_id = k.id AND t.id = mk.movie_id,39048.56
3.pkl,Leading(((ci ((mc cn) t)) ct)),/*+ Rows(t #1749032) Rows(mc #2609129) Rows(ci #1435439) Rows(cn #84843) Rows(ct #4) Rows(mc t #1508127) Rows(ci t #1071330) Rows(ci mc #2743255) Rows(cn mc #1153798) Rows(ct mc #2609129) Rows(ci mc t #1942704) Rows(cn mc t #596250) Rows(ct mc t #1508127) Rows(ci cn mc #1210267) Rows(ci ct mc #2743255) Rows(cn ct mc #1153798) Rows(ci cn mc t #782104) Rows(ci ct mc t #1942704) Rows(cn ct mc t #596250) Rows(ci cn ct mc #1210267) Rows(ci cn ct mc t #782104)  */ explain (format json) SELECT COUNT(*) FROM (cast_info as ci CROSS JOIN ((movie_companies as mc CROSS JOIN company_name as cn) CROSS JOIN title as t)) CROSS JOIN company_type as ct WHERE  ci.note LIKE '%(producer)%' AND  cn.country_code = '[us]' AND  t.production_year > 1990 AND mc.company_id = cn.id AND mc.company_type_id = ct.id AND mc.movie_id = ci.movie_id AND t.id = ci.movie_id AND t.id = mc.movie_id,979728.52
23.pkl,Leading((((((k mk) t) mc) cn) ci)),/*+ Rows(ci #36244344) Rows(t #2528312) Rows(mc #2609129) Rows(mk #4523930) Rows(k #1) Rows(cn #84843) Rows(ci t #36244344) Rows(ci mc #80274241) Rows(ci mk #215765477) Rows(mc t #2609129) Rows(mk t #4523930) Rows(mc mk #34863638) Rows(cn mc #1153798) Rows(k mk #41840) Rows(ci mc t #80274241) Rows(ci mk t #215765477) Rows(ci mc mk #3101350543) Rows(ci cn mc #32289229) Rows(ci k mk #1038393) Rows(mc mk t #34863638) Rows(cn mc t #1153798) Rows(k mk t #41840) Rows(k mc mk #148552) Rows(cn mc mk #12177631) Rows(ci mc mk t #3101350543) Rows(ci cn mc t #32289229) Rows(ci k mk t #1038393) Rows(ci k mc mk #7796926) Rows(ci cn mc mk #916402420) Rows(k mc mk t #148552) Rows(cn mc mk t #12177631) Rows(cn k mc mk #68316) Rows(ci k mc mk t #7796926) Rows(ci cn mc mk t #916402420) Rows(ci cn k mc mk #2832555) Rows(cn k mc mk t #68316) Rows(ci cn k mc mk t #2832555)  */ explain (format json) SELECT COUNT(*) FROM ((((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN title as t) CROSS JOIN movie_companies as mc) CROSS JOIN company_name as cn) CROSS JOIN cast_info as ci WHERE  cn.country_code = '[us]' AND  k.keyword = 'character-name-in-title' AND ci.movie_id = mc.movie_id AND ci.movie_id = mk.movie_id AND ci.movie_id = t.id AND mc.company_id = cn.id AND mk.keyword_id = k.id AND mk.movie_id = mc.movie_id AND t.id = mc.movie_id AND t.id = mk.movie_id,201745.15
30.pkl,Leading((((((k mk) t) mc) cn) ci)),/*+ Rows(ci #36244344) Rows(t #2528312) Rows(mc #2609129) Rows(mk #4523930) Rows(k #1) Rows(cn #84843) Rows(ci t #36244344) Rows(ci mc #80274241) Rows(ci mk #215765477) Rows(mc t #2609129) Rows(mk t #4523930) Rows(mc mk #34863638) Rows(cn mc #1153798) Rows(k mk #41840) Rows(ci mc t #80274241) Rows(ci mk t #215765477) Rows(ci mc mk #3101350543) Rows(ci cn mc #32289229) Rows(ci k mk #1038393) Rows(mc mk t #34863638) Rows(cn mc t #1153798) Rows(k mk t #41840) Rows(k mc mk #148552) Rows(cn mc mk #12177631) Rows(ci mc mk t #3101350543) Rows(ci cn mc t #32289229) Rows(ci k mk t #1038393) Rows(ci k mc mk #7796926) Rows(ci cn mc mk #916402420) Rows(k mc mk t #148552) Rows(cn mc mk t #12177631) Rows(cn k mc mk #68316) Rows(ci k mc mk t #7796926) Rows(ci cn mc mk t #916402420) Rows(ci cn k mc mk #2832555) Rows(cn k mc mk t #68316) Rows(ci cn k mc mk t #2832555)  */ explain (format json) SELECT COUNT(*) FROM ((((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN title as t) CROSS JOIN movie_companies as mc) CROSS JOIN company_name as cn) CROSS JOIN cast_info as ci WHERE  cn.country_code = '[us]' AND  k.keyword = 'character-name-in-title' AND ci.movie_id = mc.movie_id AND ci.movie_id = mk.movie_id AND ci.movie_id = t.id AND mc.company_id = cn.id AND mk.keyword_id = k.id AND mk.movie_id = mc.movie_id AND t.id = mc.movie_id AND t.id = mk.movie_id,201745.15
17.pkl,Leading((((((k mk) t) kt) mi) mi_idx)),"/*+ Rows(kt #2) Rows(t #1012920) Rows(mi #716210) Rows(mk #4523930) Rows(mi_idx #1342886) Rows(k #3) Rows(kt t #893209) Rows(mi t #266130) Rows(mk t #1253091) Rows(mi_idx t #417391) Rows(mi mk #4094443) Rows(mi mi_idx #760767) Rows(mi_idx mk #10130503) Rows(k mk #37091) Rows(kt mi t #182758) Rows(kt mk t #962609) Rows(kt mi_idx t #318957) Rows(mi mk t #891611) Rows(mi mi_idx t #220783) Rows(mi_idx mk t #2472463) Rows(k mk t #9739) Rows(mi mi_idx mk #10249732) Rows(k mi mk #34571) Rows(k mi_idx mk #94604) Rows(kt mi mk t #665722) Rows(kt mi mi_idx t #152788) Rows(kt mi_idx mk t #2062926) Rows(k kt mk t #8073) Rows(mi mi_idx mk t #1908608) Rows(k mi mk t #7395) Rows(k mi_idx mk t #21914) Rows(k mi mi_idx mk #93577) Rows(kt mi mi_idx mk t #1588788) Rows(k kt mi mk t #6017) Rows(k kt mi_idx mk t #17891) Rows(k mi mi_idx mk t #17606) Rows(k kt mi mi_idx mk t #14185)  */ explain (format json) SELECT COUNT(*) FROM ((((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN title as t) CROSS JOIN kind_type as kt) CROSS JOIN movie_info as mi) CROSS JOIN movie_info_idx as mi_idx WHERE  k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence') AND  k.keyword IS NOT NULL AND  kt.kind IN ('movie', 'episode') AND  mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American') AND  mi_idx.info < '8.5' AND  t.production_year > 2005 AND kt.id = t.kind_id AND mi.movie_id = mi_idx.movie_id AND mi.movie_id = mk.movie_id AND mk.keyword_id = k.id AND mk.movie_id = mi_idx.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id",43832.38
42.pkl,Leading(((((it mi_idx) mc) ct) t)),/*+ Rows(ct #1) Rows(mc #1337088) Rows(t #1381453) Rows(mi_idx #1380035) Rows(it #1) Rows(ct mc #140904) Rows(mc t #623304) Rows(mc mi_idx #2445218) Rows(mi_idx t #664016) Rows(it mi_idx #10) Rows(ct mc t #85570) Rows(ct mc mi_idx #261675) Rows(mc mi_idx t #1185623) Rows(it mc mi_idx #100) Rows(it mi_idx t #6) Rows(ct mc mi_idx t #166215) Rows(ct it mc mi_idx #5) Rows(it mc mi_idx t #78) Rows(ct it mc mi_idx t #4)  */ explain (format json) SELECT COUNT(*) FROM (((info_type as it CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN movie_companies as mc) CROSS JOIN company_type as ct) CROSS JOIN title as t WHERE  ct.kind = 'production companies' AND  it.info = 'bottom 10 rank' AND  mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' AND  t.production_year > 2000 AND ct.id = mc.company_type_id AND mc.movie_id = mi_idx.movie_id AND mc.movie_id = t.id AND mi_idx.info_type_id = it.id AND t.id = mi_idx.movie_id,19334.0
41.pkl,Leading(((((it mi_idx) t) mc) ct)),/*+ Rows(ct #1) Rows(mc #1337088) Rows(t #391666) Rows(mi_idx #1380035) Rows(it #1) Rows(ct mc #140904) Rows(mc t #143664) Rows(mc mi_idx #2445218) Rows(mi_idx t #131526) Rows(it mi_idx #250) Rows(ct mc t #25264) Rows(ct mc mi_idx #261675) Rows(mc mi_idx t #224618) Rows(it mc mi_idx #7930) Rows(it mi_idx t #12) Rows(ct mc mi_idx t #40074) Rows(ct it mc mi_idx #391) Rows(it mc mi_idx t #365) Rows(ct it mc mi_idx t #33)  */ explain (format json) SELECT COUNT(*) FROM (((info_type as it CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN title as t) CROSS JOIN movie_companies as mc) CROSS JOIN company_type as ct WHERE  ct.kind = 'production companies' AND  it.info = 'top 250 rank' AND  mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' AND  t.production_year > 2010 AND ct.id = mc.company_type_id AND mc.movie_id = mi_idx.movie_id AND mc.movie_id = t.id AND mi_idx.info_type_id = it.id AND t.id = mi_idx.movie_id,19477.72
28.pkl,Leading(((mc cn) (((k mk) t) ci))),/*+ Rows(ci #36244344) Rows(t #2528312) Rows(mc #2609129) Rows(mk #4523930) Rows(k #1) Rows(cn #234997) Rows(ci t #36244344) Rows(ci mc #80274241) Rows(ci mk #215765477) Rows(mc t #2609129) Rows(mk t #4523930) Rows(mc mk #34863638) Rows(cn mc #2609129) Rows(k mk #41840) Rows(ci mc t #80274241) Rows(ci mk t #215765477) Rows(ci mc mk #3101350543) Rows(ci cn mc #80274241) Rows(ci k mk #1038393) Rows(mc mk t #34863638) Rows(cn mc t #2609129) Rows(k mk t #41840) Rows(k mc mk #148552) Rows(cn mc mk #34863638) Rows(ci mc mk t #3101350543) Rows(ci cn mc t #80274241) Rows(ci k mk t #1038393) Rows(ci k mc mk #7796926) Rows(ci cn mc mk #3101350543) Rows(k mc mk t #148552) Rows(cn mc mk t #34863638) Rows(cn k mc mk #148552) Rows(ci k mc mk t #7796926) Rows(ci cn mc mk t #3101350543) Rows(ci cn k mc mk #7796926) Rows(cn k mc mk t #148552) Rows(ci cn k mc mk t #7796926)  */ explain (format json) SELECT COUNT(*) FROM (movie_companies as mc CROSS JOIN company_name as cn) CROSS JOIN (((keyword as k CROSS JOIN movie_keyword as mk) CROSS JOIN title as t) CROSS JOIN cast_info as ci) WHERE  k.keyword = 'character-name-in-title' AND ci.movie_id = mc.movie_id AND ci.movie_id = mk.movie_id AND ci.movie_id = t.id AND mc.company_id = cn.id AND mk.keyword_id = k.id AND mk.movie_id = mc.movie_id AND t.id = mc.movie_id AND t.id = mk.movie_id,314842.96
